Value,Name-et-EE,Name-en-GB,Name-ru-RU,Label-et-EE,Label-en-GB,Label-ru-RU,Parent,Level,Description-et-EE,Description-en-GB,Description-ru-RU,IsGenerated,IsValid,ValidFrom,ValidTo
9131,,,,Vastse-Roosa küla,Vastse-Roosa village,Деревня Вастсе-Рооза,0698,3,"Võru maakond, Rõuge vald, Vastse-Roosa küla","Võru county, Rõuge rural municipality, Vastse-Roosa village","Выруский уезд, волость Рыуге, деревня Вастсе-Рооза",,1,,
9261,,,,Vihkla küla,Vihkla village,Деревня Вихкла,0698,3,"Võru maakond, Rõuge vald, Vihkla küla","Võru county, Rõuge rural municipality, Vihkla village","Выруский уезд, волость Рыуге, деревня Вихкла",,1,,
9307,,,,Viitina küla,Viitina village,Деревня Вийтина,0698,3,"Võru maakond, Rõuge vald, Viitina küla","Võru county, Rõuge rural municipality, Viitina village","Выруский уезд, волость Рыуге, деревня Вийтина",,1,,
9329,,,,Viliksaarõ küla,Viliksaarõ village,Деревня Виликсаары,0698,3,"Võru maakond, Rõuge vald, Viliksaarõ küla","Võru county, Rõuge rural municipality, Viliksaarõ village","Выруский уезд, волость Рыуге, деревня Виликсаары",,1,,
9345,,,,Villa küla,Villa village,Деревня Вилла,0698,3,"Võru maakond, Rõuge vald, Villa küla","Võru county, Rõuge rural municipality, Villa village","Выруский уезд, волость Рыуге, деревня Вилла",,1,,
9354,,,,Villike küla,Villike village,Деревня Виллике,0698,3,"Võru maakond, Rõuge vald, Villike küla","Võru county, Rõuge rural municipality, Villike village","Выруский уезд, волость Рыуге, деревня Виллике",,1,,
9391,,,,Viru küla,Viru village,Деревня Виру,0698,3,"Võru maakond, Rõuge vald, Viru küla","Võru county, Rõuge rural municipality, Viru village","Выруский уезд, волость Рыуге, деревня Виру",,1,,
9445,,,,Vodi küla,Vodi village,Деревня Води,0698,3,"Võru maakond, Rõuge vald, Vodi küla","Võru county, Rõuge rural municipality, Vodi village","Выруский уезд, волость Рыуге, деревня Води",,1,,
9487,,,,Vorstimäe küla,Vorstimäe village,Деревня Ворстимяэ,0698,3,"Võru maakond, Rõuge vald, Vorstimäe küla","Võru county, Rõuge rural municipality, Vorstimäe village","Выруский уезд, волость Рыуге, деревня Ворстимяэ",,1,,
9488,,,,Vungi küla,Vungi village,Деревня Вунги,0698,3,"Võru maakond, Rõuge vald, Vungi küla","Võru county, Rõuge rural municipality, Vungi village","Выруский уезд, волость Рыуге, деревня Вунги",,1,,
9640,,,,Väiko-Tiilige küla,Väiko-Tiilige village,Деревня Вяйко-Тийлиге,0698,3,"Võru maakond, Rõuge vald, Väiko-Tiilige küla","Võru county, Rõuge rural municipality, Väiko-Tiilige village","Выруский уезд, волость Рыуге, деревня Вяйко-Тийлиге",,1,,
9643,,,,Väiku-Ruuga küla,Väiku-Ruuga village,Деревня Вяйку-Рууга,0698,3,"Võru maakond, Rõuge vald, Väiku-Ruuga küla","Võru county, Rõuge rural municipality, Väiku-Ruuga village","Выруский уезд, волость Рыуге, деревня Вяйку-Рууга",,1,,
9665,,,,Vänni küla,Vänni village,Деревня Вянни,0698,3,"Võru maakond, Rõuge vald, Vänni küla","Võru county, Rõuge rural municipality, Vänni village","Выруский уезд, волость Рыуге, деревня Вянни",,1,,
0732,,,,Setomaa vald,Setomaa rural municipality,Волость Сетомаа,0087,2,"Võru maakond, Setomaa vald","Võru county, Setomaa rural municipality","Выруский уезд, волость Сетомаа",,1,,
1173,,,,Ala-Tsumba küla,Ala-Tsumba village,Деревня Ала-Тсумба,0732,3,"Võru maakond, Setomaa vald, Ala-Tsumba küla","Võru county, Setomaa rural municipality, Ala-Tsumba village","Выруский уезд, волость Сетомаа, деревня Ала-Тсумба",,1,,
1265,,,,Antkruva küla,Antkruva village,Деревня Анткрува,0732,3,"Võru maakond, Setomaa vald, Antkruva küla","Võru county, Setomaa rural municipality, Antkruva village","Выруский уезд, волость Сетомаа, деревня Анткрува",,1,,
