Value,Name-et-EE,Name-en-GB,Name-ru-RU,Label-et-EE,Label-en-GB,Label-ru-RU,Parent,Level,Description-et-EE,Description-en-GB,Description-ru-RU,IsGenerated,IsValid,ValidFrom,ValidTo
0037,,,,Harju maakond,Harju county,Харьюский уезд,,1,Harju maakond,Harju county,Харьюский уезд,,1,,
0141,,,,Anija vald,Anija rural municipality,Волость Ания,0037,2,"Harju maakond, Anija vald","Harju county, Anija rural municipality","Харьюский уезд, волость Ания",,1,,
1046,,,,Aavere küla,Aavere village,Деревня Аавере,0141,3,"Harju maakond, Anija vald, Aavere küla","Harju county, Anija rural municipality, Aavere village","Харьюский уезд, волость Ания, деревня Аавере",,1,,
1086,,,,Aegviidu alev,Aegviidu town,Городской посёлок Аэгвийду,0141,3,"Harju maakond, Anija vald, Aegviidu alev","Harju county, Anija rural municipality, Aegviidu town","Харьюский уезд, волость Ания, городской посёлок Аэгвийду",,1,,
1184,,,,Alavere küla,Alavere village,Деревня Алавере,0141,3,"Harju maakond, Anija vald, Alavere küla","Harju county, Anija rural municipality, Alavere village","Харьюский уезд, волость Ания, деревня Алавере",,1,,
1278,,,,Anija küla,Anija village,Деревня Ания,0141,3,"Harju maakond, Anija vald, Anija küla","Harju county, Anija rural municipality, Anija village","Харьюский уезд, волость Ания, деревня Ания",,1,,
1321,,,,Arava küla,Arava village,Деревня Арава,0141,3,"Harju maakond, Anija vald, Arava küla","Harju county, Anija rural municipality, Arava village","Харьюский уезд, волость Ания, деревня Арава",,1,,
1961,,,,Härmakosu küla,Härmakosu village,Деревня Хярмакозу,0141,3,"Harju maakond, Anija vald, Härmakosu küla","Harju county, Anija rural municipality, Härmakosu village","Харьюский уезд, волость Ания, деревня Хярмакозу",,1,,
2877,,,,Kaunissaare küla,Kaunissaare village,Деревня Кауниссааре,0141,3,"Harju maakond, Anija vald, Kaunissaare küla","Harju county, Anija rural municipality, Kaunissaare village","Харьюский уезд, волость Ания, деревня Кауниссааре",,1,,
2925,,,,Kehra küla,Kehra village,Деревня Кехра,0141,3,"Harju maakond, Anija vald, Kehra küla","Harju county, Anija rural municipality, Kehra village","Харьюский уезд, волость Ания, деревня Кехра",,1,,
2928,,,,Kehra linn,Kehra city,Город Кехра,0141,3,"Harju maakond, Anija vald, Kehra linn","Harju county, Anija rural municipality, Kehra city","Харьюский уезд, волость Ания, город Кехра",,1,,
3022,,,,Kihmla küla,Kihmla village,Деревня Кихмла,0141,3,"Harju maakond, Anija vald, Kihmla küla","Harju county, Anija rural municipality, Kihmla village","Харьюский уезд, волость Ания, деревня Кихмла",,1,,
3716,,,,Kuusemäe küla,Kuusemäe village,Деревня Кууземяэ,0141,3,"Harju maakond, Anija vald, Kuusemäe küla","Harju county, Anija rural municipality, Kuusemäe village","Харьюский уезд, волость Ания, деревня Кууземяэ",,1,,
4213,,,,Lehtmetsa küla,Lehtmetsa village,Деревня Лехтметса,0141,3,"Harju maakond, Anija vald, Lehtmetsa küla","Harju county, Anija rural municipality, Lehtmetsa village","Харьюский уезд, волость Ания, деревня Лехтметса",,1,,
4369,,,,Lilli küla,Lilli village,Деревня Лилли,0141,3,"Harju maakond, Anija vald, Lilli küla","Harju county, Anija rural municipality, Lilli village","Харьюский уезд, волость Ания, деревня Лилли",,1,,
4397,,,,Linnakse küla,Linnakse village,Деревня Линнаксе,0141,3,"Harju maakond, Anija vald, Linnakse küla","Harju county, Anija rural municipality, Linnakse village","Харьюский уезд, волость Ания, деревня Линнаксе",,1,,
4506,,,,Looküla,Looküla village,Деревня Лоокюла,0141,3,"Harju maakond, Anija vald, Looküla","Harju county, Anija rural municipality, Looküla village","Харьюский уезд, волость Ания, деревня Лоокюла",,1,,
4672,,,,Lükati küla,Lükati village,Деревня Люкати,0141,3,"Harju maakond, Anija vald, Lükati küla","Harju county, Anija rural municipality, Lükati village","Харьюский уезд, волость Ания, деревня Люкати",,1,,
5081,,,,Mustjõe küla,Mustjõe village,Деревня Мустйыэ,0141,3,"Harju maakond, Anija vald, Mustjõe küla","Harju county, Anija rural municipality, Mustjõe village","Харьюский уезд, волость Ания, деревня Мустйыэ",,1,,
5789,,,,Paasiku küla,Paasiku village,Деревня Паазику,0141,3,"Harju maakond, Anija vald, Paasiku küla","Harju county, Anija rural municipality, Paasiku village","Харьюский уезд, волость Ания, деревня Паазику",,1,,
6009,,,,Parila küla,Parila village,Деревня Парила,0141,3,"Harju maakond, Anija vald, Parila küla","Harju county, Anija rural municipality, Parila village","Харьюский уезд, волость Ания, деревня Парила",,1,,
6022,,,,Partsaare küla,Partsaare village,Деревня Партсааре,0141,3,"Harju maakond, Anija vald, Partsaare küla","Harju county, Anija rural municipality, Partsaare village","Харьюский уезд, волость Ания, деревня Партсааре",,1,,
6241,,,,Pikva küla,Pikva village,Деревня Пиква,0141,3,"Harju maakond, Anija vald, Pikva küla","Harju county, Anija rural municipality, Pikva village","Харьюский уезд, волость Ания, деревня Пиква",,1,,
6251,,,,Pillapalu küla,Pillapalu village,Деревня Пиллапалу,0141,3,"Harju maakond, Anija vald, Pillapalu küla","Harju county, Anija rural municipality, Pillapalu village","Харьюский уезд, волость Ания, деревня Пиллапалу",,1,,
6828,,,,Rasivere küla,Rasivere village,Деревня Разивере,0141,3,"Harju maakond, Anija vald, Rasivere küla","Harju county, Anija rural municipality, Rasivere village","Харьюский уезд, волость Ания, деревня Разивере",,1,,
6855,,,,Raudoja küla,Raudoja village,Деревня Раудоя,0141,3,"Harju maakond, Anija vald, Raudoja küla","Harju county, Anija rural municipality, Raudoja village","Харьюский уезд, волость Ания, деревня Раудоя",,1,,
7068,,,,Rooküla,Rooküla village,Деревня Роокюла,0141,3,"Harju maakond, Anija vald, Rooküla","Harju county, Anija rural municipality, Rooküla village","Харьюский уезд, волость Ания, деревня Роокюла",,1,,
7396,,,,Salumetsa küla,Salumetsa village,Деревня Салуметса,0141,3,"Harju maakond, Anija vald, Salumetsa küla","Harju county, Anija rural municipality, Salumetsa village","Харьюский уезд, волость Ания, деревня Салуметса",,1,,
7398,,,,Salumäe küla,Salumäe village,Деревня Салумяэ,0141,3,"Harju maakond, Anija vald, Salumäe küla","Harju county, Anija rural municipality, Salumäe village","Харьюский уезд, волость Ания, деревня Салумяэ",,1,,
7693,,,,Soodla küla,Soodla village,Деревня Соодла,0141,3,"Harju maakond, Anija vald, Soodla küla","Harju county, Anija rural municipality, Soodla village","Харьюский уезд, волость Ания, деревня Соодла",,1,,
8764,,,,Uuearu küla,Uuearu village,Деревня Ууэару,0141,3,"Harju maakond, Anija vald, Uuearu küla","Harju county, Anija rural municipality, Uuearu village","Харьюский уезд, волость Ания, деревня Ууэару",,1,,
9248,,,,Vetla küla,Vetla village,Деревня Ветла,0141,3,"Harju maakond, Anija vald, Vetla küla","Harju county, Anija rural municipality, Vetla village","Харьюский уезд, волость Ания, деревня Ветла",,1,,
9318,,,,Vikipalu küla,Vikipalu village,Деревня Википалу,0141,3,"Harju maakond, Anija vald, Vikipalu küla","Harju county, Anija rural municipality, Vikipalu village","Харьюский уезд, волость Ания, деревня Википалу",,1,,
9480,,,,Voose küla,Voose village,Деревня Воозе,0141,3,"Harju maakond, Anija vald, Voose küla","Harju county, Anija rural municipality, Voose village","Харьюский уезд, волость Ания, деревня Воозе",,1,,
9827,,,,Ülejõe küla,Ülejõe village,Деревня Юлейыэ,0141,3,"Harju maakond, Anija vald, Ülejõe küla","Harju county, Anija rural municipality, Ülejõe village","Харьюский уезд, волость Ания, деревня Юлейыэ",,1,,
0198,,,,Harku vald,Harku rural municipality,Волость Харку,0037,2,"Harju maakond, Harku vald","Harju county, Harku rural municipality","Харьюский уезд, волость Харку",,1,,
1084,,,,Adra küla,Adra village,Деревня Адра,0198,3,"Harju maakond, Harku vald, Adra küla","Harju county, Harku rural municipality, Adra village","Харьюский уезд, волость Харку, деревня Адра",,1,,
1774,,,,Harku alevik,Harku small town,Сельский посёлок Харку,0198,3,"Harju maakond, Harku vald, Harku alevik","Harju county, Harku rural municipality, Harku small town","Харьюский уезд, волость Харку, сельский посёлок Харку",,1,,
1776,,,,Harkujärve küla,Harkujärve village,Деревня Харкуярве,0198,3,"Harju maakond, Harku vald, Harkujärve küla","Harju county, Harku rural municipality, Harkujärve village","Харьюский уезд, волость Харку, деревня Харкуярве",,1,,
1903,,,,Humala küla,Humala village,Деревня Хумала,0198,3,"Harju maakond, Harku vald, Humala küla","Harju county, Harku rural municipality, Humala village","Харьюский уезд, волость Харку, деревня Хумала",,1,,
2047,,,,Ilmandu küla,Ilmandu village,Деревня Илманду,0198,3,"Harju maakond, Harku vald, Ilmandu küla","Harju county, Harku rural municipality, Ilmandu village","Харьюский уезд, волость Харку, деревня Илманду",,1,,
3608,,,,Kumna küla,Kumna village,Деревня Кумна,0198,3,"Harju maakond, Harku vald, Kumna küla","Harju county, Harku rural municipality, Kumna village","Харьюский уезд, волость Харку, деревня Кумна",,1,,
3997,,,,Kütke küla,Kütke village,Деревня Кютке,0198,3,"Harju maakond, Harku vald, Kütke küla","Harju county, Harku rural municipality, Kütke village","Харьюский уезд, волость Харку, деревня Кютке",,1,,
4002,,,,Laabi küla,Laabi village,Деревня Лааби,0198,3,"Harju maakond, Harku vald, Laabi küla","Harju county, Harku rural municipality, Laabi village","Харьюский уезд, волость Харку, деревня Лааби",,1,,
4344,,,,Liikva küla,Liikva village,Деревня Лийква,0198,3,"Harju maakond, Harku vald, Liikva küla","Harju county, Harku rural municipality, Liikva village","Харьюский уезд, волость Харку, деревня Лийква",,1,,
4880,,,,Meriküla,Meriküla village,Деревня Мерикюла,0198,3,"Harju maakond, Harku vald, Meriküla","Harju county, Harku rural municipality, Meriküla village","Харьюский уезд, волость Харку, деревня  Мерикюла",,1,,
5038,,,,Muraste küla,Muraste village,Деревня Мурасте,0198,3,"Harju maakond, Harku vald, Muraste küla","Harju county, Harku rural municipality, Muraste village","Харьюский уезд, волость Харку, деревня Мурасте",,1,,
5327,,,,Naage küla,Naage village,Деревня Нааге,0198,3,"Harju maakond, Harku vald, Naage küla","Harju county, Harku rural municipality, Naage village","Харьюский уезд, волость Харку, деревня Нааге",,1,,
6814,,,,Rannamõisa küla,Rannamõisa village,Деревня Раннамыйза,0198,3,"Harju maakond, Harku vald, Rannamõisa küla","Harju county, Harku rural municipality, Rannamõisa village","Харьюский уезд, волость Харку, деревня Раннамыйза",,1,,
7870,,,,Suurupi küla,Suurupi village,Деревня Суурупи,0198,3,"Harju maakond, Harku vald, Suurupi küla","Harju county, Harku rural municipality, Suurupi village","Харьюский уезд, волость Харку, деревня Суурупи",,1,,
7905,,,,Sõrve küla,Sõrve village,Деревня Сырве,0198,3,"Harju maakond, Harku vald, Sõrve küla","Harju county, Harku rural municipality, Sõrve village","Харьюский уезд, волость Харку, деревня Сырве",,1,,
8009,,,,Tabasalu alevik,Tabasalu small town,Сельский посёлок Табасалу,0198,3,"Harju maakond, Harku vald, Tabasalu alevik","Harju county, Harku rural municipality, Tabasalu small town","Харьюский уезд, волость Харку, сельский посёлок Табасалу",,1,,
8257,,,,Tiskre küla,Tiskre village,Деревня Тискре,0198,3,"Harju maakond, Harku vald, Tiskre küla","Harju county, Harku rural municipality, Tiskre village","Харьюский уезд, волость Харку, деревня Тискре",,1,,
8442,,,,Tutermaa küla,Tutermaa village,Деревня Тутермаа,0198,3,"Harju maakond, Harku vald, Tutermaa küla","Harju county, Harku rural municipality, Tutermaa village","Харьюский уезд, волость Харку, деревня Тутермаа",,1,,
8599,,,,Türisalu küla,Türisalu village,Деревня Тюрисалу,0198,3,"Harju maakond, Harku vald, Türisalu küla","Harju county, Harku rural municipality, Türisalu village","Харьюский уезд, волость Харку, деревня Тюрисалу",,1,,
8848,,,,Vahi küla,Vahi village,Деревня Вахи,0198,3,"Harju maakond, Harku vald, Vahi küla","Harju county, Harku rural municipality, Vahi village","Харьюский уезд, волость Харку, деревня Вахи",,1,,
8877,,,,Vaila küla,Vaila village,Деревня Вайла,0198,3,"Harju maakond, Harku vald, Vaila küla","Harju county, Harku rural municipality, Vaila village","Харьюский уезд, волость Харку, деревня Вайла",,1,,
9434,,,,Viti küla,Viti village,Деревня Вити,0198,3,"Harju maakond, Harku vald, Viti küla","Harju county, Harku rural municipality, Viti village","Харьюский уезд, волость Харку, деревня Вити",,1,,
9683,,,,Vääna küla,Vääna village,Деревня Вяэна,0198,3,"Harju maakond, Harku vald, Vääna küla","Harju county, Harku rural municipality, Vääna village","Харьюский уезд, волость Харку, деревня Вяэна",,1,,
9685,,,,Vääna-Jõesuu küla,Vääna-Jõesuu village,Деревня Вяэна-Йыэсуу,0198,3,"Harju maakond, Harku vald, Vääna-Jõesuu küla","Harju county, Harku rural municipality, Vääna-Jõesuu village","Харьюский уезд, волость Харку, деревня Вяэна-Йыэсуу",,1,,
0245,,,,Jõelähtme vald,Jõelähtme rural municipality,Волость Йыэляхтме,0037,2,"Harju maakond, Jõelähtme vald","Harju county, Jõelähtme rural municipality","Харьюский уезд, волость Йыэляхтме",,1,,
1367,,,,Aruaru küla,Aruaru village,Деревня Аруару,0245,3,"Harju maakond, Jõelähtme vald, Aruaru küla","Harju county, Jõelähtme rural municipality, Aruaru village","Харьюский уезд, волость Йыэляхтме, деревня Аруару",,1,,
1691,,,,Haapse küla,Haapse village,Деревня Хаапсе,0245,3,"Harju maakond, Jõelähtme vald, Haapse küla","Harju county, Jõelähtme rural municipality, Haapse village","Харьюский уезд, волость Йыэляхтме, деревня Хаапсе",,1,,
1741,,,,Haljava küla,Haljava village,Деревня Хальява,0245,3,"Harju maakond, Jõelähtme vald, Haljava küla","Harju county, Jõelähtme rural municipality, Haljava village","Харьюский уезд, волость Йыэляхтме, деревня Хальява",,1,,
2009,,,,Ihasalu küla,Ihasalu village,Деревня Ихасалу,0245,3,"Harju maakond, Jõelähtme vald, Ihasalu küla","Harju county, Jõelähtme rural municipality, Ihasalu village","Харьюский уезд, волость Йыэляхтме, деревня Ихасалу",,1,,
2100,,,,Iru küla,Iru village,Деревня Иру,0245,3,"Harju maakond, Jõelähtme vald, Iru küla","Harju county, Jõelähtme rural municipality, Iru village","Харьюский уезд, волость Йыэляхтме, деревня Иру",,1,,
2234,,,,Jõelähtme küla,Jõelähtme village,Деревня Йыэляхтме,0245,3,"Harju maakond, Jõelähtme vald, Jõelähtme küla","Harju county, Jõelähtme rural municipality, Jõelähtme village","Харьюский уезд, волость Йыэляхтме, деревня Йыэляхтме",,1,,
2248,,,,Jõesuu küla,Jõesuu village,Деревня Йыэсуу,0245,3,"Harju maakond, Jõelähtme vald, Jõesuu küla","Harju county, Jõelähtme rural municipality, Jõesuu village","Харьюский уезд, волость Йыэляхтме, деревня Йыэсуу",,1,,
2299,,,,Jägala küla,Jägala village,Деревня Ягала,0245,3,"Harju maakond, Jõelähtme vald, Jägala küla","Harju county, Jõelähtme rural municipality, Jägala village","Харьюский уезд, волость Йыэляхтме, деревня Ягала",,1,,
2301,,,,Jägala-Joa küla,Jägala-Joa village,Деревня Ягала-Йоа,0245,3,"Harju maakond, Jõelähtme vald, Jägala-Joa küla","Harju county, Jõelähtme rural municipality, Jägala-Joa village","Харьюский уезд, волость Йыэляхтме, деревня Ягала-Йоа",,1,,
2452,,,,Kaberneeme küla,Kaberneeme village,Деревня Кабернеэме,0245,3,"Harju maakond, Jõelähtme vald, Kaberneeme küla","Harju county, Jõelähtme rural municipality, Kaberneeme village","Харьюский уезд, волость Йыэляхтме, деревня Кабернеэме",,1,,
2601,,,,Kallavere küla,Kallavere village,Деревня Каллавере,0245,3,"Harju maakond, Jõelähtme vald, Kallavere küla","Harju county, Jõelähtme rural municipality, Kallavere village","Харьюский уезд, волость Йыэляхтме, деревня Каллавере",,1,,
3296,,,,Koila küla,Koila village,Деревня Койла,0245,3,"Harju maakond, Jõelähtme vald, Koila küla","Harju county, Jõelähtme rural municipality, Koila village","Харьюский уезд, волость Йыэляхтме, деревня Койла",,1,,
3301,,,,Koipsi küla,Koipsi village,Деревня Койпси,0245,3,"Harju maakond, Jõelähtme vald, Koipsi küla","Harju county, Jõelähtme rural municipality, Koipsi village","Харьюский уезд, волость Йыэляхтме, деревня Койпси",,1,,
3385,,,,Koogi küla,Koogi village,Деревня Кооги,0245,3,"Harju maakond, Jõelähtme vald, Koogi küla","Harju county, Jõelähtme rural municipality, Koogi village","Харьюский уезд, волость Йыэляхтме, деревня Кооги",,1,,
3471,,,,Kostiranna küla,Kostiranna village,Деревня Костиранна,0245,3,"Harju maakond, Jõelähtme vald, Kostiranna küla","Harju county, Jõelähtme rural municipality, Kostiranna village","Харьюский уезд, волость Йыэляхтме, деревня Костиранна",,1,,
3472,,,,Kostivere alevik,Kostivere small town,Сельский посёлок Костивере,0245,3,"Harju maakond, Jõelähtme vald, Kostivere alevik","Harju county, Jõelähtme rural municipality, Kostivere small town","Харьюский уезд, волость Йыэляхтме, сельский посёлок Костивере",,1,,
3588,,,,Kullamäe küla,Kullamäe village,Деревня Кулламяэ,0245,3,"Harju maakond, Jõelähtme vald, Kullamäe küla","Harju county, Jõelähtme rural municipality, Kullamäe village","Харьюский уезд, волость Йыэляхтме, деревня Кулламяэ",,1,,
4359,,,,Liivamäe küla,Liivamäe village,Деревня Лийвамяэ,0245,3,"Harju maakond, Jõelähtme vald, Liivamäe küla","Harju county, Jõelähtme rural municipality, Liivamäe village","Харьюский уезд, волость Йыэляхтме, деревня Лийвамяэ",,1,,
4494,,,,Loo küla,Loo village,Деревня Лоо,0245,3,"Harju maakond, Jõelähtme vald, Loo küla","Harju county, Jõelähtme rural municipality, Loo village","Харьюский уезд, волость Йыэляхтме, деревня Лоо",,1,,
4496,,,,Loo alevik,Loo small town,Сельский посёлок Лоо,0245,3,"Harju maakond, Jõelähtme vald, Loo alevik","Harju county, Jõelähtme rural municipality, Loo small town","Харьюский уезд, волость Йыэляхтме, сельский посёлок Лоо",,1,,
4704,,,,Maardu küla,Maardu village,Деревня Маарду,0245,3,"Harju maakond, Jõelähtme vald, Maardu küla","Harju county, Jõelähtme rural municipality, Maardu village","Харьюский уезд, волость Йыэляхтме, деревня Маарду",,1,,
4776,,,,Manniva küla,Manniva village,Деревня Маннива,0245,3,"Harju maakond, Jõelähtme vald, Manniva küla","Harju county, Jõelähtme rural municipality, Manniva village","Харьюский уезд, волость Йыэляхтме, деревня Маннива",,1,,
5389,,,,Neeme küla,Neeme village,Деревня Неэме,0245,3,"Harju maakond, Jõelähtme vald, Neeme küla","Harju county, Jõelähtme rural municipality, Neeme village","Харьюский уезд, волость Йыэляхтме, деревня Неэме",,1,,
5400,,,,Nehatu küla,Nehatu village,Деревня Нехату,0245,3,"Harju maakond, Jõelähtme vald, Nehatu küla","Harju county, Jõelähtme rural municipality, Nehatu village","Харьюский уезд, волость Йыэляхтме, деревня Нехату",,1,,
5997,,,,Parasmäe küla,Parasmäe village,Деревня Парасмяэ,0245,3,"Harju maakond, Jõelähtme vald, Parasmäe küla","Harju county, Jõelähtme rural municipality, Parasmäe village","Харьюский уезд, волость Йыэляхтме, деревня Парасмяэ",,1,,
6785,,,,Rammu küla,Rammu village,Деревня Рамму,0245,3,"Harju maakond, Jõelähtme vald, Rammu küla","Harju county, Jõelähtme rural municipality, Rammu village","Харьюский уезд, волость Йыэляхтме, деревня Рамму",,1,,
6882,,,,Rebala küla,Rebala village,Деревня Ребала,0245,3,"Harju maakond, Jõelähtme vald, Rebala küla","Harju county, Jõelähtme rural municipality, Rebala village","Харьюский уезд, волость Йыэляхтме, деревня Ребала",,1,,
7037,,,,Rohusi küla,Rohusi village,Деревня Рохузи,0245,3,"Harju maakond, Jõelähtme vald, Rohusi küla","Harju county, Jõelähtme rural municipality, Rohusi village","Харьюский уезд, волость Йыэляхтме, деревня Рохузи",,1,,
7141,,,,Ruu küla,Ruu village,Деревня Руу,0245,3,"Harju maakond, Jõelähtme vald, Ruu küla","Harju county, Jõelähtme rural municipality, Ruu village","Харьюский уезд, волость Йыэляхтме, деревня Руу",,1,,
7335,,,,Saha küla,Saha village,Деревня Саха,0245,3,"Harju maakond, Jõelähtme vald, Saha küla","Harju county, Jõelähtme rural municipality, Saha village","Харьюский уезд, волость Йыэляхтме, деревня Саха",,1,,
7405,,,,Sambu küla,Sambu village,Деревня Самбу,0245,3,"Harju maakond, Jõelähtme vald, Sambu küla","Harju county, Jõelähtme rural municipality, Sambu village","Харьюский уезд, волость Йыэляхтме, деревня Самбу",,1,,
7498,,,,Saviranna küla,Saviranna village,Деревня Савиранна,0245,3,"Harju maakond, Jõelähtme vald, Saviranna küla","Harju county, Jõelähtme rural municipality, Saviranna village","Харьюский уезд, волость Йыэляхтме, деревня Савиранна",,1,,
8783,,,,Uusküla,Uusküla village,Деревня Уускюла,0245,3,"Harju maakond, Jõelähtme vald, Uusküla","Harju county, Jõelähtme rural municipality, Uusküla village","Харьюский уезд, волость Йыэляхтме, деревня Уускюла",,1,,
9041,,,,Vandjala küla,Vandjala village,Деревня Вандьяла,0245,3,"Harju maakond, Jõelähtme vald, Vandjala küla","Harju county, Jõelähtme rural municipality, Vandjala village","Харьюский уезд, волость Йыэляхтме, деревня Вандьяла",,1,,
9491,,,,Võerdla küla,Võerdla village,Деревня Выердла,0245,3,"Harju maakond, Jõelähtme vald, Võerdla küla","Harju county, Jõelähtme rural municipality, Võerdla village","Харьюский уезд, волость Йыэляхтме, деревня Выердла",,1,,
9838,,,,Ülgase küla,Ülgase village,Деревня Юлгазе,0245,3,"Harju maakond, Jõelähtme vald, Ülgase küla","Harju county, Jõelähtme rural municipality, Ülgase village","Харьюский уезд, волость Йыэляхтме, деревня Юлгазе",,1,,
0296,,,,Keila linn,Keila city,Город Кейла,0037,2,"Harju maakond, Keila linn","Harju county, Keila city","Харьюский уезд, город Кейла",,1,,
0305,,,,Kiili vald,Kiili rural municipality,Волость Кийли,0037,2,"Harju maakond, Kiili vald","Harju county, Kiili rural municipality","Харьюский уезд, волость Кийли",,1,,
1388,,,,Arusta küla,Arusta village,Деревня Аруста,0305,3,"Harju maakond, Kiili vald, Arusta küla","Harju county, Kiili rural municipality, Arusta village","Харьюский уезд, волость Кийли, деревня Аруста",,1,,
2673,,,,Kangru alevik,Kangru small town,Сельский посёлок Кангру,0305,3,"Harju maakond, Kiili vald, Kangru alevik","Harju county, Kiili rural municipality, Kangru small town","Харьюский уезд, волость Кийли, сельский посёлок Кангру",,1,,
3039,,,,Kiili alev,Kiili town,Городской посёлок Кийли,0305,3,"Harju maakond, Kiili vald, Kiili alev","Harju county, Kiili rural municipality, Kiili town","Харьюский уезд, волость Кийли, городской посёлок Кийли",,1,,
3653,,,,Kurevere küla,Kurevere village,Деревня Куревере,0305,3,"Harju maakond, Kiili vald, Kurevere küla","Harju county, Kiili rural municipality, Kurevere village","Харьюский уезд, волость Кийли, деревня Куревере",,1,,
4549,,,,Luige alevik,Luige small town,Сельский посёлок Луйге,0305,3,"Harju maakond, Kiili vald, Luige alevik","Harju county, Kiili rural municipality, Luige small town","Харьюский уезд, волость Кийли, сельский посёлок Луйге",,1,,
4633,,,,Lähtse küla,Lähtse village,Деревня Ляхтсе,0305,3,"Harju maakond, Kiili vald, Lähtse küla","Harju county, Kiili rural municipality, Lähtse village","Харьюский уезд, волость Кийли, деревня Ляхтсе",,1,,
4902,,,,Metsanurga küla,Metsanurga village,Деревня Метсанурга,0305,3,"Harju maakond, Kiili vald, Metsanurga küla","Harju county, Kiili rural municipality, Metsanurga village","Харьюский уезд, волость Кийли, деревня Метсанурга",,1,,
5125,,,,Mõisaküla,Mõisaküla village,Деревня Мыйзакюла,0305,3,"Harju maakond, Kiili vald, Mõisaküla","Harju county, Kiili rural municipality, Mõisaküla village","Харьюский уезд, волость Кийли, деревня Мыйзакюла",,1,,
5329,,,,Nabala küla,Nabala village,Деревня Набала,0305,3,"Harju maakond, Kiili vald, Nabala küla","Harju county, Kiili rural municipality, Nabala village","Харьюский уезд, волость Кийли, деревня Набала",,1,,
5824,,,,Paekna küla,Paekna village,Деревня Паэкна,0305,3,"Harju maakond, Kiili vald, Paekna küla","Harju county, Kiili rural municipality, Paekna village","Харьюский уезд, волость Кийли, деревня Паэкна",,1,,
6198,,,,Piissoo küla,Piissoo village,Деревня Пийссоо,0305,3,"Harju maakond, Kiili vald, Piissoo küla","Harju county, Kiili rural municipality, Piissoo village","Харьюский уезд, волость Кийли, деревня Пийссоо",,1,,
7474,,,,Sausti küla,Sausti village,Деревня Саусти,0305,3,"Harju maakond, Kiili vald, Sausti küla","Harju county, Kiili rural municipality, Sausti village","Харьюский уезд, волость Кийли, деревня Саусти",,1,,
7701,,,,Sookaera küla,Sookaera village,Деревня Соокаэра,0305,3,"Harju maakond, Kiili vald, Sookaera küla","Harju county, Kiili rural municipality, Sookaera village","Харьюский уезд, волость Кийли, деревня Соокаэра",,1,,
7880,,,,Sõgula küla,Sõgula village,Деревня Сыгула,0305,3,"Harju maakond, Kiili vald, Sõgula küla","Harju county, Kiili rural municipality, Sõgula village","Харьюский уезд, волость Кийли, деревня Сыгула",,1,,
7894,,,,Sõmeru küla,Sõmeru village,Деревня Сымеру,0305,3,"Harju maakond, Kiili vald, Sõmeru küla","Harju county, Kiili rural municipality, Sõmeru village","Харьюский уезд, волость Кийли, деревня Сымеру",,1,,
8824,,,,Vaela küla,Vaela village,Деревня Ваэла,0305,3,"Harju maakond, Kiili vald, Vaela küla","Harju county, Kiili rural municipality, Vaela village","Харьюский уезд, волость Кийли, деревня Ваэла",,1,,
0338,,,,Kose vald,Kose rural municipality,Волость Козе,0037,2,"Harju maakond, Kose vald","Harju county, Kose rural municipality","Харьюский уезд, волость Козе",,1,,
1089,,,,Aela küla,Aela village,Деревня Аэла,0338,3,"Harju maakond, Kose vald, Aela küla","Harju county, Kose rural municipality, Aela village","Харьюский уезд, волость Козе, деревня Аэла",,1,,
1113,,,,Ahisilla küla,Ahisilla village,Деревня Ахисилла,0338,3,"Harju maakond, Kose vald, Ahisilla küla","Harju county, Kose rural municipality, Ahisilla village","Харьюский уезд, волость Козе, деревня Ахисилла",,1,,
1174,,,,Alansi küla,Alansi village,Деревня Аланси,0338,3,"Harju maakond, Kose vald, Alansi küla","Harju county, Kose rural municipality, Alansi village","Харьюский уезд, волость Козе, деревня Аланси",,1,,
1340,,,,Ardu alevik,Ardu small town,Сельский посёлок Арду,0338,3,"Harju maakond, Kose vald, Ardu alevik","Harju county, Kose rural municipality, Ardu small town","Харьюский уезд, волость Козе, сельский посёлок Арду",,1,,
1708,,,,Habaja alevik,Habaja small town,Сельский посёлок Хабая,0338,3,"Harju maakond, Kose vald, Habaja alevik","Harju county, Kose rural municipality, Habaja small town","Харьюский уезд, волость Козе, сельский посёлок Хабая",,1,,
1779,,,,Harmi küla,Harmi village,Деревня Харми,0338,3,"Harju maakond, Kose vald, Harmi küla","Harju county, Kose rural municipality, Harmi village","Харьюский уезд, волость Козе, деревня Харми",,1,,
2485,,,,Kadja küla,Kadja village,Деревня Кадья,0338,3,"Harju maakond, Kose vald, Kadja küla","Harju county, Kose rural municipality, Kadja village","Харьюский уезд, волость Козе, деревня Кадья",,1,,
2657,,,,Kanavere küla,Kanavere village,Деревня Канавере,0338,3,"Harju maakond, Kose vald, Kanavere küla","Harju county, Kose rural municipality, Kanavere village","Харьюский уезд, волость Козе, деревня Канавере",,1,,
2690,,,,Kantküla,Kantküla village,Деревня Канткюла,0338,3,"Harju maakond, Kose vald, Kantküla","Harju county, Kose rural municipality, Kantküla village","Харьюский уезд, волость Козе, деревня Канткюла",,1,,
2764,,,,Karla küla,Karla village,Деревня Карла,0338,3,"Harju maakond, Kose vald, Karla küla","Harju county, Kose rural municipality, Karla village","Харьюский уезд, волость Козе, деревня Карла",,1,,
